pokemon_1,pokemon_2,pokemon_3,pokemon_4,pokemon_5,pokemon_6
Slowking-Galar,Tapu Fini,Corviknight,Buzzwole,Tyranitar,Excadrill
Toxapex,Mareanie,Landorus-Therian,Tornadus-Therian,Reuniclus,Dracozolt
Dragapult,Weavile,Garchomp,Corviknight,Slowking-Galar,Tapu Fini
Tapu Lele,Scizor,Heatran,Toxapex,Tornadus-Therian,Garchomp
Victini,Zapdos-Galar,Weavile,Landorus-Therian,Dragonite,Melmetal
Pelipper,Barraskewda,Seismitoad,Volcanion,Zapdos,Ferrothorn
Ninetales-Alola,Dragapult,Heatran,Garchomp,Cloyster,Scizor
Volcanion,Ninetales-Alola,Corviknight,Arctozolt,Landorus-Therian,Tornadus-Therian
Bisharp,Heatran,Zapdos,Garchomp,Clefable,Slowking
Latias,Tornadus-Therian,Toxapex,Tyranitar,Landorus-Therian,Heatran
Nidoking,Dragapult,Clefable,Blissey,Garchomp,Corviknight
Landorus-Therian,Tapu Lele,Heatran,Kartana,Rillaboom,Urshifu-Rapid-Strike
Buzzwole,Snorlax,Toxapex,Corviknight,Clefable,Gastrodon-East
Mew,Haxorus,Landorus-Therian,Cloyster,Blaziken,Weavile
Latios,Bisharp,Dragapult,Cloyster,Landorus-Therian,Tapu Koko
Mew,Thundurus,Blacephalon,Kartana,Regieleki,Moltres-Galar
Celesteela,Hippowdon,Skarmory,Clefable,Toxapex,Blissey
Clefable,Dragapult,Corviknight,Landorus-Therian,Toxapex,Volcarona
Arctozolt,Ninetales-Alola,Weavile,Corviknight,Volcanion,Landorus-Therian
Dragapult,Kartana,Bisharp,Melmetal,Landorus-Therian,Weavile
Blacephalon,Corviknight,Landorus-Therian,Toxapex,Slowking-Galar,Weavile
Volcanion,Landorus-Therian,Tyranitar,Zapdos,Kartana,Scizor
Garchomp,Ferrothorn,Rotom-Wash,Buzzwole,Weavile,Volcarona
Zeraora,Nihilego,Celesteela,Heatran,Landorus-Therian,Tapu Fini
Shuckle,Tyrantrum,Kartana,Bisharp,Victini,Landorus-Therian
Tapu Lele,Urshifu-Rapid-Strike,Heatran,Landorus-Therian,Weavile,Slowbro
Weavile,Zapdos,Landorus-Therian,Volcanion,Clefable,Ferrothorn
Rotom-Wash,Heatran,Landorus-Therian,Hawlucha,Tapu Lele,Kartana
Zapdos-Galar,Jirachi,Regieleki,Landorus-Therian,Latios,Bisharp
Heatran,Ferrothorn,Tornadus-Therian,Landorus-Therian,Tapu Lele,Toxapex
Cloyster,Dragapult,Garchomp,Moltres-Galar,Heatran,Ninetales-Alola
Aegislash,Zapdos-Galar,Dragapult,Volcarona,Landorus-Therian,Dragonite
Nidoking,Urshifu-Rapid-Strike,Tornadus-Therian,Landorus-Therian,Slowbro,Heatran
Weavile,Blacephalon,Heatran,Ferrothorn,Clefable,Landorus-Therian
Zeraora,Zapdos-Galar,Jirachi,Landorus-Therian,Tapu Fini,Weavile
Blissey,Shedinja,Corviknight,Buzzwole,Toxapex,Clefable
Weavile,Garchomp,Volcarona,Ferrothorn,Tapu Fini,Zapdos
Tapu Lele,Zeraora,Tyranitar,Rillaboom,Skarmory,Dragapult
Landorus-Therian,Ferrothorn,Suicune,Nihilego,Weavile,Dragapult
Nihilego,Ferrothorn,Tapu Fini,Weavile,Dragapult,Landorus-Therian
Slowbro-Galar,Magnezone,Landorus-Therian,Tapu Lele,Tapu Fini,Weavile
Melmetal,Toxapex,Garchomp,Landorus-Therian,Tornadus-Therian,Magnezone
Victini,Clefable,Ferrothorn,Dragonite,Landorus-Therian,Tapu Koko
Blissey,Gastrodon-East,Clefable,Toxapex,Zapdos,Corviknight
Buzzwole,Slowking-Galar,Heatran,Hydreigon,Toxapex,Hippowdon
Tapu Koko,Melmetal,Landorus-Therian,Toxapex,Hydreigon,Cinderace
Zygarde-10%,Weavile,Tapu Fini,Slowking-Galar,Garchomp,Corviknight
Weavile,Kyurem,Moltres,Magearna,Swampert,Rillaboom
Kartana,Cinderace,Landorus-Therian,Hydreigon,Heatran,Slowbro
Kartana,Garchomp,Toxapex,Heatran,Hydreigon,Skarmory
Slowking-Galar,Slowbro,Excadrill,Tyranitar,Garchomp,Skarmory
Keldeo-Resolute,Latios,Landorus-Therian,Hydreigon,Toxapex,Slowking-Galar
Volcarona,Tapu Fini,Amoonguss,Garchomp,Hydreigon,Skarmory
Cinderace,Zarude,Garchomp,Heatran,Toxapex,Weezing-Galar
Jirachi,Zarude,Garchomp,Heatran,Toxapex,Weezing-Galar
Kyurem,Keldeo-Resolute,Mandibuzz,Dragapult,Toxapex,Excadrill
Kartana,Cinderace,Landorus-Therian,Melmetal,Tornadus-Therian,Dragapult
Kyurem,Urshifu-Rapid-Strike,Mandibuzz,Dragapult,Toxapex,Excadrill
Kyurem,Swampert,Magearna,Rillaboom,Mandibuzz,Dragapult
Jirachi,Garchomp,Melmetal,Weezing-Galar,Hydreigon,Slowbro
Tapu Koko,Cinderace,Ferrothorn,Slowbro,Mandibuzz,Landorus-Therian
Pelipper,Urshifu-Rapid-Strike,Zapdos,Ferrothorn,Kingdra,Thundurus-Therian
Regieleki,Kyurem,Cinderace,Swampert,Rillaboom,Magearna
Quagsire,Slowking-Galar,Blissey,Toxapex,Corviknight,Urshifu
Toxapex,Shedinja,Snorlax,Corviknight,Quagsire,Zarude
Golurk,Cinderace,Tapu Fini,Ferrothorn,Garchomp,Mandibuzz
Silvally-Electric,Tapu Koko,Kyurem,Slowbro,Melmetal,Landorus-Therian
Celesteela,Toxapex,Excadrill,Clefable,Dragapult,Hydreigon
Lycanroc-Dusk,Rotom-Wash,Landorus-Therian,Cinderace,Magearna,Hydreigon
Thundurus-Therian,Hydreigon,Landorus-Therian,Magearna,Rillaboom,Hawlucha
Blissey,Quagsire,Clefable,Toxapex,Dragonite,Corviknight
Landorus-Therian,Torkoal,Heatran,Venusaur,Clefable,Hydreigon
Corviknight,Espeon,Tapu Lele,Polteageist,Cloyster,Omastar
Lycanroc-Dusk,Rotom-Wash,Dragapult,Mandibuzz,Excadrill,Tapu Bulu
Kyurem,Zeraora,Toxapex,Landorus-Therian,Corviknight,Clefable
Dragapult,Hydreigon,Toxapex,Zapdos,Scizor,Landorus-Therian
Salazzle,Clefable,Corviknight,Blissey,Dragapult,Gastrodon-East
Shedinja,Toxapex,Tangrowth,Corviknight,Clefable,Blissey
Togekiss,Landorus-Therian,Corviknight,Toxapex,Volcarona,Weavile
Zapdos-Galar,Slowking,Rillaboom,Scizor,Landorus-Therian,Dragapult
Scizor,Magnezone,Landorus-Therian,Kyurem,Tapu Koko,Tapu Fini
Kartana,Magearna,Landorus-Therian,Moltres,Dragapult,Tapu Fini
Landorus-Therian,Dragapult,Heatran,Slowbro,Clefable,Hydreigon
Tapu Koko,Magnezone,Garchomp,Slowbro,Cinderace,Mandibuzz
Pelipper,Urshifu-Rapid-Strike,Tornadus-Therian,Ferrothorn,Barraskewda,Thundurus-Therian
Ninetales-Alola,Garchomp,Magnezone,Hydreigon,Sandslash-Alola,Toxapex
Hydreigon,Heatran,Ferrothorn,Garchomp,Clefable,Tapu Koko
Clefable,Cinderace,Slowking,Landorus-Therian,Magearna,Hydreigon
Hippowdon,Shedinja,Clefable,Corviknight,Blissey,Toxapex
Suicune,Kyurem,Clefable,Toxapex,Ferrothorn,Landorus-Therian
Clefable,Moltres,Slowking,Tyranitar,Excadrill,Tornadus-Therian
Araquanid,Pelipper,Urshifu-Rapid-Strike,Ferrothorn,Barraskewda,Thundurus-Therian
Zapdos,Pelipper,Garchomp,Ferrothorn,Thundurus-Therian,Barraskewda
Garchomp,Tapu Koko,Mandibuzz,Swampert,Heatran,Tapu Fini
Cinderace,Keldeo,Mandibuzz,Swampert,Slowking-Galar,Rillaboom
Spectrier,Suicune,Nidoking,Clefable,Magearna,Mandibuzz
Suicune,Corviknight,Toxapex,Mandibuzz,Clefable,Hippowdon
Cinderace,Latios,Golisopod,Clefable,Tyranitar,Melmetal
Zygarde-10%,Suicune,Clefable,Excadrill,Moltres,Roserade
Tapu Fini,Moltres,Latios,Tornadus-Therian,Landorus-Therian,Ferrothorn
Heatran,Kyurem,Tapu Fini,Ferrothorn,Dragapult,Zygarde
Heatran,Ferrothorn,Tornadus-Therian,Landorus-Therian,Raikou,Toxapex
Rotom-Wash,Kyurem,Dragapult,Landorus-Therian,Buzzwole,Heatran
Weezing-Galar,Clefable,Corviknight,Toxapex,Gastrodon-East,Tornadus-Therian
Nidoking,Urshifu-Rapid-Strike,Tornadus-Therian,Landorus-Therian,Slowbro,Melmetal
Zapdos-Galar,Volcanion,Landorus-Therian,Barraskewda,Melmetal,Pelipper
Blissey,Buzzwole,Slowbro,Toxapex,Hippowdon,Scizor
Latias,Heatran,Weavile,Skarmory,Toxapex,Hippowdon
Landorus-Therian,Rotom-Wash,Zapdos-Galar,Clefable,Ferrothorn,Dragapult
Buzzwole,Tapu Koko,Garchomp,Ferrothorn,Heatran,Dragonite
Weavile,Melmetal,Urshifu-Rapid-Strike,Landorus-Therian,Tornadus-Therian,Tapu Fini
Dragapult,Tornadus-Therian,Kyurem,Volcarona,Weavile,Landorus-Therian
Tornadus-Therian,Kyurem,Heatran,Mew,Toxapex,Landorus-Therian
Toxapex,Tornadus-Therian,Landorus-Therian,Melmetal,Kyurem,Magnezone
Rotom-Heat,Toxapex,Landorus-Therian,Weavile,Slowking-Galar,Scizor
Clefable,Ferrothorn,Heatran,Landorus-Therian,Latias,Rotom-Wash
Bronzong,Magnezone,Gastrodon-East,Toxapex,Blissey,Corviknight
Landorus-Therian,Volcanion,Ferrothorn,Heatran,Tornadus-Therian,Weavile
Blacephalon,Tapu Fini,Heatran,Landorus-Therian,Zeraora,Tornadus-Therian
Pelipper,Volcanion,Seismitoad,Scizor,Moltres-Galar,Thundurus-Therian
Buzzwole,Clefable,Zeraora,Slowking-Galar,Dragonite,Ferrothorn
Nidoking,Slowbro,Heatran,Landorus-Therian,Buzzwole,Zeraora
Cobalion,Landorus-Therian,Bisharp,Victini,Weavile,Cloyster
Nidoking,Blissey,Buzzwole,Slowbro,Corviknight,Weavile
Urshifu-Rapid-Strike,Ferrothorn,Landorus-Therian,Zeraora,Weavile,Clefable
Melmetal,Garchomp,Chansey,Skarmory,Tornadus-Therian,Clefable
Shedinja,Gastrodon-East,Dragapult,Heatran,Clefable,Skarmory
Garchomp,Landorus-Therian,Kartana,Moltres-Galar,Urshifu-Rapid-Strike,Aegislash
Zeraora,Zapdos-Galar,Jirachi,Toxapex,Landorus-Therian,Tornadus-Therian
Silvally-Electric,Scizor,Rillaboom,Landorus-Therian,Volcarona,Weavile
Cloyster,Dragapult,Garchomp,Moltres-Galar,Heatran,Kartana
Zeraora,Urshifu-Rapid-Strike,Kyurem,Slowking-Galar,Corviknight,Hippowdon
Victini,Tapu Koko,Volcarona,Landorus-Therian,Tornadus-Therian,Tapu Fini
Nihilego,Magnezone,Kartana,Landorus-Therian,Weavile,Tapu Fini
Heatran,Dragapult,Garchomp,Kartana,Moltres-Galar,Weavile
Landorus-Therian,Melmetal,Slowbro,Tornadus-Therian,Clefable,Weavile
Tornadus-Therian,Hawlucha,Kartana,Garchomp,Rillaboom,Silvally-Electric
Landorus-Therian,Weavile,Kartana,Volcanion,Slowking-Galar,Dragapult
Shuckle,Zapdos-Galar,Kartana,Nidoking,Bisharp,Rillaboom
Magearna,Stakataka,Porygon2,Marowak-Alola,Glastrier,Conkeldurr
Ninetales-Alola,Moltres-Galar,Arctozolt,Excadrill,Dragapult,Tapu Lele
Melmetal,Pelipper,Volcanion,Seismitoad,Dragonite,Barraskewda
Blissey,Corviknight,Kyurem,Landorus-Therian,Toxapex,Tornadus-Therian
Lycanroc-Dusk,Landorus-Therian,Tapu Koko,Heatran,Tornadus-Therian,Slowbro
Tapu Lele,Kartana,Heatran,Weavile,Garchomp,Rillaboom
Suicune,Cresselia,Volcarona,Landorus-Therian,Tornadus-Therian,Tapu Fini
Zapdos,Toxapex,Landorus-Therian,Weavile,Slowking-Galar,Scizor
Tapu Fini,Magnezone,Tapu Lele,Kartana,Hawlucha,Landorus-Therian
Urshifu-Rapid-Strike,Necrozma,Tapu Lele,Heatran,Landorus-Therian,Kartana
Cinderace,Toxapex,Clefable,Landorus-Therian,Dragapult,Excadrill
Kartana,Slowbro,Moltres,Landorus-Therian,Melmetal,Tornadus-Therian
Tapu Fini,Buzzwole,Heatran,Mandibuzz,Landorus-Therian,Latios
Mew,Volcarona,Garchomp,Togekiss,Slowking-Galar,Melmetal
Chansey,Quagsire,Skarmory,Togekiss,Toxapex,Heatran
Weavile,Ferrothorn,Clefable,Slowking,Landorus-Therian,Latios
Rotom-Heat,Hippowdon,Clefable,Corviknight,Seismitoad,Kyurem
Snorlax,Jirachi,Toxapex,Clefable,Corviknight,Hippowdon
Cinderace,Kyurem,Hippowdon,Clefable,Corviknight,Keldeo-Resolute
Shedinja,Torkoal,Vaporeon,Clefable,Corviknight,Silvally-Grass
Corviknight,Chandelure,Celebi,Vaporeon,Hatterene,Snorlax
Terrakion,Gyarados,Necrozma,Kommo-o,Bisharp,Gardevoir
Bewear,Toxapex,Corviknight,Reuniclus,Mew,Clefable
Weavile,Dracovish,Corviknight,Ferrothorn,Hippowdon,Toxapex
Dragapult,Clefable,Corviknight,Seismitoad,Zeraora,Kyurem
Conkeldurr,Dragapult,Clefable,Toxapex,Corviknight,Kyurem
Tyranitar,Hippowdon,Excadrill,Mimikyu,Ferrothorn,Dracovish
Clefable,Hippowdon,Ferrothorn,Rotom-Heat,Hydreigon,Dracovish
Clefable,Snorlax,Hippowdon,Mandibuzz,Rotom-Heat,Primarina
Rotom-Heat,Clefable,Corviknight,Seismitoad,Kyurem,Dracovish
Clefable,Rotom-Heat,Ferrothorn,Aegislash,Kommo-o,Dragapult
Rhyperior,Ferrothorn,Rotom-Heat,Clefable,Gengar,Primarina
Shedinja,Corviknight,Mandibuzz,Mew,Weezing-Galar,Rotom-Mow
Shedinja,Xatu,Corviknight,Hippowdon,Toxapex,Clefable
Shedinja,Toxapex,Corviknight,Clefable,Sableye,Kommo-o
Clefable,Rotom-Heat,Seismitoad,Diggersby,Corviknight,Dragapult
Crawdaunt,Clefable,Corviknight,Seismitoad,Rotom-Heat,Conkeldurr
Charizard,Mew,Xatu,Aegislash,Bisharp,Hydreigon
Accelgor,Ninetales-Alola,Mew,Cloyster,Zeraora,Conkeldurr
Clefable,Seismitoad,Corviknight,Dracozolt,Dragapult,Rotom-Heat
Seismitoad,Clefable,Conkeldurr,Chandelure,Corviknight,Hydreigon
Clefable,Snorlax,Hippowdon,Kyurem,Toxapex,Corviknight
Darmanitan-Galar,Corviknight,Ditto,Seismitoad,Dragapult,Clefable
Excadrill,Gigalith,Ferrothorn,Cinderace,Hippowdon,Clefable
Landorus-Therian,Garchomp,Slowking-Galar,Kartana,Tapu Koko,Mandibuzz
Cloyster,Excadrill,Mimikyu,Grimmsnarl,Kommo-o,Crawdaunt
Hatterene,Vaporeon,Snorlax,Sirfetch’d,Aegislash,Zeraora
Hatterene-Gmax,Tyranitar,Jellicent,Copperajah-Gmax,Excadrill,Arctozolt
Excadrill,Bisharp,Dragapult,Dracovish,Kommo-o,Togekiss
Hatterene,Vaporeon,Snorlax,Sirfetch’d,Aegislash,Zeraora
Celebi,Zeraora,Clefable,Snorlax,Toxapex,Corviknight
Reuniclus,Clefable,Hydreigon,Ferrothorn,Conkeldurr,Cinderace
Hydreigon,Seismitoad,Corviknight,Clefable,Conkeldurr,Dracovish
Clefable,Corviknight,Kommo-o,Toxapex,Zeraora,Malamar
Terrakion,Grimmsnarl,Corviknight,Bisharp,Necrozma,Keldeo
Mew,Excadrill,Terrakion,Aegislash,Kommo-o,Dragapult
Mew,Rotom-Heat,Clefable,Snorlax,Toxapex,Corviknight
Corviknight,Darmanitan,Celebi,Vaporeon,Hatterene,Snorlax
Silvally-Ghost,Seismitoad,Clefable,Corviknight,Conkeldurr,Hydreigon
Terrakion,Mandibuzz,Clefable,Ferrothorn,Rotom-Heat,Jirachi
Cinderace,Kommo-o,Clefable,Jirachi,Celebi,Mantine
Salazzle,Ferrothorn,Hippowdon,Excadrill,Dragapult,Clefable
Cinderace,Rillaboom,Kyurem,Hippowdon,Clefable,Corviknight
Cinderace,Rillaboom,Primarina,Hippowdon,Excadrill,Hydreigon
Cinderace,Corviknight,Kommo-o,Hydreigon,Zeraora,Clefable
Cinderace,Aegislash,Hippowdon,Zeraora,Mandibuzz,Primarina
Mew,Hippowdon,Excadrill,Aegislash,Toxapex,Cinderace
Clefable,Hippowdon,Snorlax,Quagsire,Hippopotas,Rotom-Heat
Aegislash,Clefable,Hippowdon,Gyarados,Rotom-Heat,Bisharp
Corviknight,Darmanitan,Celebi,Toxapex,Clefable,Snorlax
Pikachu,Terrakion,Silvally-Ghost,Necrozma,Hydreigon,Bisharp
Steelix,Toxapex,Mandibuzz,Snorlax,Clefable,Salazzle
Gengar,Zeraora,Clefable,Hippowdon,Toxapex,Mandibuzz
Torkoal,Venusaur,Lycanroc-Dusk,Excadrill,Hydreigon,Hatterene
Togekiss,Rillaboom,Excadrill,Rotom-Heat,Urshifu-Rapid-Strike,Clefable
Reuniclus,Shedinja,Toxapex,Skarmory,Clefable,Blissey
Weavile,Clefable,Excadrill,Mantine,Amoonguss,Dragapult
Scizor,Slowbro,Clefable,Excadrill,Tyranitar,Tornadus-Therian
Rillaboom,Heatran,Swampert,Clefable,Obstagoon,Tornadus-Therian
Nidoking,Garchomp,Magearna,Keldeo,Dragapult,Tornadus-Therian
Heracross,Zeraora,Clefable,Mandibuzz,Dragapult,Amoonguss
Cinderace,Landorus-Therian,Tapu Koko,Bisharp,Magearna,Hawlucha
Tapu Koko,Landorus-Therian,Hawlucha,Magearna,Azumarill,Dragonite
Rillaboom,Kartana,Corviknight,Blissey,Hippowdon,Dragapult
Clefable,Toxapex,Hippowdon,Excadrill,Hydreigon,Scizor
Tornadus-Therian,Landorus-Therian,Hydreigon,Magearna,Toxapex,Tapu Koko
Tyranitar,Excadrill,Tornadus-Therian,Toxapex,Heatran,Tangrowth
Magearna,Hawlucha,Regieleki,Garchomp,Rillaboom,Cinderace
Pelipper,Ferrothorn,Tornadus-Therian,Thundurus-Therian,Kingdra,Crawdaunt
Slowking,Magearna,Tapu Koko,Landorus-Therian,Mandibuzz,Cinderace
Tornadus-Therian,Landorus-Therian,Toxapex,Slowking-Galar,Dragapult,Magearna
Dragonite,Slowking-Galar,Magearna,Toxapex,Hippowdon,Corviknight
Nidoking,Cinderace,Slowking,Garchomp,Zapdos,Obstagoon
Weavile,Heatran,Garchomp,Tapu Fini,Blissey,Skarmory
Landorus-Therian,Crawdaunt,Slowking-Galar,Kyurem,Corviknight,Tapu Fini
Cinderace,Latios,Tornadus-Therian,Slowbro,Landorus-Therian,Slowking-Galar
Magearna,Melmetal,Garchomp,Landorus-Therian,Kartana,Volcarona
Clefable,Quagsire,Blissey,Corviknight,Toxapex,Slowking-Galar
Slowking,Landorus-Therian,Kartana,Magearna,Corviknight,Dragapult
Slowbro,Chansey,Tangrowth,Togekiss,Excadrill,Urshifu
Seismitoad,Corviknight,Obstagoon,Clefable,Reuniclus,Dragapult
Snorlax,Vaporeon,Hatterene,Corviknight,Darmanitan,Hydreigon
Clefable,Jirachi,Toxapex,Hydreigon,Rotom-Heat,Corviknight
Urshifu-Rapid-Strike,Kyurem,Amoonguss,Excadrill,Mandibuzz,Dragapult
Clefable,Mandibuzz,Ferrothorn,Hippowdon,Excadrill,Rotom-Heat
Crawdaunt,Pelipper,Kingdra,Zapdos,Ferrothorn,Magearna
Chansey,Toxapex,Tangrowth,Shedinja,Mandibuzz,Clefable
Pelipper,Ferrothorn,Magearna,Seismitoad,Kingdra,Mandibuzz
Cinderace,Tapu Koko,Magearna,Landorus-Therian,Slowbro,Slowking-Galar
Chansey,Dragonite,Stunfisk-Galar,Trubbish,Pyukumuku,Eldegoss
Dragonite,Latias,Hawlucha,Tapu Koko,Magearna,Cinderace
Toxtricity,Kartana,Garchomp,Hydreigon,Tapu Koko,Cinderace
Landorus,Magnezone,Rillaboom,Mantine,Chansey,Rotom-Wash
Sandaconda,Jirachi,Cloyster,Garchomp,Dragapult,Togekiss
Volcarona,Tornadus-Therian,Slowbro,Amoonguss,Tyranitar,Excadrill
Landorus-Therian,Tapu Lele,Dragonite,Volcarona,Blacephalon,Hawlucha
Rhyperior,Mandibuzz,Dragapult,Ferrothorn,Rotom-Heat,Toxapex
Tyranitar,Excadrill,Slowbro,Heatran,Mandibuzz,Garchomp
Sandaconda,Excadrill,Magearna,Rillaboom,Cloyster,Togekiss
Reuniclus,Toxapex,Clefable,Mandibuzz,Garchomp,Volcarona
Reuniclus,Shedinja,Toxapex,Skarmory,Clefable,Blissey
Gengar,Tornadus-Therian,Heatran,Garchomp,Slowbro,Rillaboom
Landorus-Therian,Garchomp,Magearna,Toxapex,Tornadus-Therian,Slowking-Galar
Mew,Rotom-Heat,Mandibuzz,Toxapex,Chansey,Quagsire
Mandibuzz,Clefable,Quagsire,Toxapex,Chansey,Volcarona
Tapu Lele,Cinderace,Garchomp,Tornadus-Therian,Slowbro,Heatran
Magearna-Original,Urshifu,Clefable,Mandibuzz,Kommo-o,Dragapult
Toxtricity,Dragapult,Seismitoad,Corviknight-Gmax,Ditto,Rotom-Heat
Blacephalon,Landorus-Therian,Garchomp,Tapu Fini,Melmetal,Tornadus-Therian
Polteageist,Xatu,Dragonite,Weavile,Landorus-Therian,Volcarona
Ninetales-Alola,Arctozolt,Tapu Lele,Landorus-Therian,Heatran,Toxapex
Slowbro,Kartana,Buzzwole,Landorus-Therian,Tornadus-Therian,Heatran
Urshifu-Rapid-Strike,Slowking-Galar,Buzzwole,Landorus-Therian,Heatran,Weavile
Rillaboom,Magnezone,Nihilego,Landorus-Therian,Slowbro,Weavile
Haxorus,Regieleki,Volcarona,Landorus-Therian,Bisharp,Kartana
Garchomp,Blaziken,Heatran,Dragapult,Ninetales-Alola,Arctozolt
Suicune,Buzzwole,Landorus-Therian,Heatran,Dragapult,Clefable
Ninetales-Alola,Dragapult,Heatran,Garchomp,Scizor,Arctozolt
