pokemon_1,pokemon_2,pokemon_3,pokemon_4,pokemon_5,pokemon_6
Meowscarada,Gholdengo,Zapdos,Ting-Lu,Baxcalibur,Landorus-Therian
Tinkaton,Dragapult,Ting-Lu,Dondozo,Cinderace,Zapdos
Landorus-Therian,Zamazenta-*,Slowking-Galar,Zapdos,Kingambit,Samurott-Hisui
Dragapult,Ting-Lu,Toxapex,Zapdos,Great Tusk,Kingambit
Torkoal,Lilligant-Hisui,Hatterene,Walking Wake,Great Tusk,Iron Moth
Iron Valiant,Cinderace,Samurott-Hisui,Landorus-Therian,Amoonguss,Dragapult
Zamazenta-*,Zapdos,Samurott-Hisui,Great Tusk,Slowking-Galar,Kingambit
Lilligant-Hisui,Iron Treads,Roaring Moon,Iron Moth,Greninja-*,Iron Valiant
Dragapult,Ting-Lu,Toxapex,Zapdos,Great Tusk,Kingambit
Dragapult,Ting-Lu,Toxapex,Zapdos,Great Tusk,Kingambit
Masquerain,Great Tusk,Iron Moth,Kingambit,Gholdengo,Breloom
Samurott-Hisui,Dragapult,Landorus-Therian,Amoonguss,Ting-Lu,Kingambit
Rotom-Wash,Muk-Alola,Great Tusk,Dondozo,Moltres,Ting-Lu
Landorus-Therian,Samurott-Hisui,Zamazenta-*,Kingambit,Slowking-Galar,Zapdos
Dragapult,Landorus-Therian,Zamazenta-*,Amoonguss,Great Tusk,Kingambit
Dragapult,Landorus-Therian,Zamazenta-*,Amoonguss,Great Tusk,Kingambit
Polteageist,Hatterene,Maushold,Sneasler,Indeedee,Armarouge
Roaring Moon,Zapdos,Slowking-Galar,Corviknight,Kingambit,Dragapult
Samurott-Hisui,Dragapult,Landorus-Therian,Amoonguss,Ting-Lu,Kingambit
Great Tusk,Torkoal,Walking Wake,Brute Bonnet,Kingambit,Iron Moth
Samurott-Hisui,Zapdos,Great Tusk,Dragapult,Slowking-Galar,Garganacl
Samurott-Hisui,Dragapult,Landorus-Therian,Amoonguss,Ting-Lu,Kingambit
Roaring Moon,Zapdos,Slowking-Galar,Corviknight,Kingambit,Dragapult
Dragapult,Ting-Lu,Toxapex,Zapdos,Great Tusk,Kingambit
Greninja-*,Iron Moth,Lilligant-Hisui,Iron Valiant,Roaring Moon,Iron Treads
Samurott-Hisui,Iron Valiant,Baxcalibur,Kingambit,Gholdengo,Greninja-*
Samurott-Hisui,Dragapult,Landorus-Therian,Amoonguss,Ting-Lu,Kingambit
Landorus-Therian,Samurott-Hisui,Zamazenta-*,Kingambit,Slowking-Galar,Zapdos
Slowking-Galar,Cinderace,Corviknight,Great Tusk,Iron Valiant,Samurott-Hisui
Zapdos,Ting-Lu,Dondozo,Landorus-Therian,Slowking-Galar,Great Tusk
Iron Valiant,Greninja-*,Glimmora,Kingambit,Iron Jugulis,Iron Moth
Samurott-Hisui,Zapdos,Great Tusk,Dragapult,Slowking-Galar,Garganacl
Slowking-Galar,Zapdos,Landorus-Therian,Samurott-Hisui,Kingambit,Gholdengo
Zapdos,Ting-Lu,Dondozo,Landorus-Therian,Slowking-Galar,Great Tusk
Torkoal,Walking Wake,Brute Bonnet,Great Tusk,Kingambit,Iron Moth
Zamazenta-*,Greninja-*,Zapdos,Ceruledge,Great Tusk,Scizor
Dragapult,Ting-Lu,Toxapex,Zapdos,Great Tusk,Kingambit
Dragapult,Ting-Lu,Toxapex,Zapdos,Great Tusk,Kingambit
Great Tusk,Toxapex,Ting-Lu,Gholdengo,Iron Hands,Enamorus
Slowking-Galar,Zapdos,Landorus-Therian,Samurott-Hisui,Kingambit,Gholdengo
Toxapex,Dondozo,Blissey,Great Tusk,Ting-Lu,Alomomola
Articuno-Galar,Dragapult,Sneasler,Great Tusk,Kingambit,Azumarill
Hippowdon,Baxcalibur,Iron Thorns,Corviknight,Toxapex,Iron Valiant
Slowking-Galar,Zapdos,Landorus-Therian,Samurott-Hisui,Kingambit,Gholdengo
Blissey,Ditto,Dondozo,Toxapex,Alomomola,Ting-Lu
Iron Valiant,Greninja-*,Glimmora,Kingambit,Iron Jugulis,Iron Moth
Dragapult,Ting-Lu,Toxapex,Zapdos,Great Tusk,Kingambit
Gholdengo,Samurott-Hisui,Toxapex,Zapdos,Great Tusk,Kingambit
Great Tusk,Toxapex,Ting-Lu,Gholdengo,Iron Hands,Enamorus
Great Tusk,Masquerain,Breloom,Kingambit,Iron Moth,Gholdengo
Slowking-Galar,Zapdos,Landorus-Therian,Samurott-Hisui,Kingambit,Gholdengo
Articuno-Galar,Dragapult,Sneasler,Great Tusk,Kingambit,Azumarill
Dragapult,Toxapex,Great Tusk,Ting-Lu,Zapdos,Kingambit
Gholdengo,Ting-Lu,Toxapex,Zapdos,Great Tusk,Kingambit
Cresselia,Dragapult,Enamorus,Zamazenta-*,Glimmora,Ursaluna
Articuno-Galar,Dragapult,Sneasler,Great Tusk,Kingambit,Azumarill
Landorus-Therian,Cinderace,Slowking-Galar,Meowscarada,Iron Valiant,Kingambit
Zamazenta-*,Dragapult,Gholdengo,Great Tusk,Garganacl,Zapdos
Samurott-Hisui,Kingambit,Sandy Shocks,Gholdengo,Iron Valiant,Walking Wake
Kingambit,Baxcalibur,Slowking-Galar,Dondozo,Cinderace,Zapdos
Zamazenta-*,Dragapult,Gholdengo,Great Tusk,Garganacl,Zapdos
Iron Valiant,Greninja-*,Glimmora,Kingambit,Iron Jugulis,Iron Moth
Zamazenta-*,Dragapult,Gholdengo,Great Tusk,Garganacl,Zapdos
Gholdengo,Ting-Lu,Zapdos,Baxcalibur,Toxapex,Iron Valiant
Dondozo,Toxapex,Ting-Lu,Great Tusk,Blissey,Alomomola
Gholdengo,Ting-Lu,Zapdos,Great Tusk,Toxapex,Iron Valiant
Cinderace,Slowking-Galar,Enamorus,Kingambit,Great Tusk,Baxcalibur
Iron Bundle,Indeedee-F,Hawlucha,Iron Treads,Toxapex,Armarouge
Cyclizar,Dondozo,Sylveon,Dragonite,Scizor,Iron Bundle
Toxapex,Dragapult,Gholdengo,Great Tusk,Garganacl,Zapdos
Iron Valiant,Greninja-*,Glimmora,Kingambit,Iron Jugulis,Iron Moth
Grimmsnarl,Roaring Moon,Great Tusk,Kingambit,Dondozo,Volcarona
Flutter Mane,Indeedee-F,Hawlucha,Iron Treads,Toxapex,Armarouge
Scizor,Great Tusk,Iron Bundle,Rotom-Wash,Flutter Mane,Lokix
Iron Bundle,Indeedee-F,Hawlucha,Polteageist,Toxapex,Armarouge
Samurott-Hisui,Gholdengo,Landorus-Therian,Amoonguss,Ting-Lu,Iron Valiant
Glimmora,Gholdengo,Great Tusk,Rotom-Wash,Kingambit,Dragapult
Dragapult,Dondozo,Great Tusk,Scizor,Chansey,Iron Moth
Iron Bundle,Pelipper,Palafin,Clodsire,Corviknight,Dondozo
Iron Bundle,Indeedee-F,Hawlucha,Polteageist,Toxapex,Armarouge
Hippowdon,Glimmora,Meowscarada,Houndstone,Chi-Yu,Palafin
Glimmora,Gholdengo,Great Tusk,Rotom-Wash,Kingambit,Dragapult
Hatterene,Rillaboom,Great Tusk,Grimmsnarl,Sneasler,Drifblim
Palafin,Ting-Lu,Glimmora,Flutter Mane,Kilowattrel,Chien-Pao
Veluza,Iron Valiant,Scizor,Toxtricity,Tinkaton,Chi-Yu
Veluza,Iron Valiant,Scizor,Toxtricity,Chi-Yu,Mimikyu
Breloom,Cyclizar,Dragonite,Chi-Yu,Annihilape,Iron Thorns
Samurott-Hisui,Kingambit,Great Tusk,Iron Valiant,Gholdengo,Dragonite
Iron Valiant,Heatran,Azumarill,Zamazenta-*,Kingambit,Meowscarada
Dondozo,Great Tusk,Landorus-Therian,Slowking-Galar,Ting-Lu,Zapdos
Torkoal,Hatterene,Walking Wake,Roaring Moon,Great Tusk,Lilligant-Hisui
Torkoal,Hatterene,Walking Wake,Roaring Moon,Great Tusk,Lilligant-Hisui
Samurott-Hisui,Great Tusk,Dragonite,Amoonguss,Gholdengo,Dragapult
Torkoal,Hatterene,Walking Wake,Roaring Moon,Great Tusk,Lilligant-Hisui
Blissey,Cinderace,Corviknight,Toxapex,Dondozo,Muk-Alola
Samurott-Hisui,Kingambit,Great Tusk,Iron Valiant,Gholdengo,Dragonite
Cresselia,Gholdengo,Iron Valiant,Greninja-*,Baxcalibur,Great Tusk
Great Tusk,Kingambit,Slowking,Glimmora,Cinderace,Zapdos
Torkoal,Hatterene,Walking Wake,Roaring Moon,Great Tusk,Typhlosion-Hisui
Cresselia,Gholdengo,Iron Valiant,Greninja-*,Baxcalibur,Great Tusk
Torkoal,Hatterene,Walking Wake,Roaring Moon,Great Tusk,Typhlosion-Hisui
Samurott-Hisui,Baxcalibur,Iron Valiant,Gholdengo,Zamazenta-*,Kingambit
Cresselia,Gholdengo,Iron Valiant,Greninja-*,Baxcalibur,Great Tusk
Samurott-Hisui,Baxcalibur,Iron Valiant,Gholdengo,Zamazenta-*,Kingambit
Cresselia,Gholdengo,Iron Valiant,Greninja-*,Baxcalibur,Great Tusk
Samurott-Hisui,Baxcalibur,Iron Valiant,Gholdengo,Zamazenta-*,Kingambit
Torkoal,Walking Wake,Brute Bonnet,Great Tusk,Kingambit,Iron Moth
Kingambit,Great Tusk,Iron Hands,Walking Wake,Enamorus,Heatran
Glimmora,Gholdengo,Great Tusk,Rotom-Wash,Kingambit,Dragapult
Glimmora,Gholdengo,Great Tusk,Rotom-Wash,Kingambit,Dragapult
Sneasler,Gholdengo,Ting-Lu,Dragonite,Great Tusk,Samurott-Hisui
Samurott-Hisui,Kingambit,Great Tusk,Iron Valiant,Gholdengo,Dragonite
Samurott-Hisui,Kingambit,Zapdos,Great Tusk,Dragapult,Slowking-Galar
Zapdos,Skeledirge,Garganacl,Hoopa-Unbound,Sneasler,Great Tusk
Torkoal,Hatterene,Walking Wake,Roaring Moon,Great Tusk,Lilligant-Hisui
Samurott-Hisui,Baxcalibur,Iron Valiant,Gholdengo,Zamazenta-*,Kingambit
Sneasler,Landorus-Therian,Rotom-Wash,Slowking-Galar,Kingambit,Cinderace
Rotom-Wash,Dragapult,Garganacl,Heatran,Sneasler,Great Tusk
Samurott-Hisui,Baxcalibur,Iron Valiant,Gholdengo,Zamazenta-*,Kingambit
Glimmora,Gholdengo,Great Tusk,Rotom-Wash,Kingambit,Dragapult
Dondozo,Toxapex,Ting-Lu,Great Tusk,Blissey,Alomomola
Kingambit,Zapdos,Ting-Lu,Greninja-*,Basculegion,Pelipper
Samurott-Hisui,Baxcalibur,Iron Valiant,Gholdengo,Zamazenta-*,Kingambit
Dragonite,Garchomp,Samurott-Hisui,Amoonguss,Kingambit,Iron Valiant
Samurott-Hisui,Baxcalibur,Iron Valiant,Gholdengo,Zamazenta-*,Kingambit
Iron Moth,Great Tusk,Rotom-Wash,Kingambit,Meowscarada,Slowking-Galar
Iron Valiant,Greninja-*,Glimmora,Kingambit,Iron Jugulis,Iron Moth
Torkoal,Walking Wake,Amoonguss,Hatterene,Lilligant-Hisui,Kingambit
Samurott-Hisui,Baxcalibur,Iron Valiant,Gholdengo,Zamazenta-*,Kingambit
Samurott-Hisui,Baxcalibur,Iron Valiant,Gholdengo,Zamazenta-*,Kingambit
Dragonite,Samurott-Hisui,Sneasler,Great Tusk,Gholdengo,Ting-Lu
Skeledirge,Ting-Lu,Dragapult,Great Tusk,Slowking-Galar,Landorus-Therian
Samurott-Hisui,Baxcalibur,Iron Valiant,Gholdengo,Zamazenta-*,Kingambit
Samurott-Hisui,Baxcalibur,Iron Valiant,Gholdengo,Zamazenta-*,Kingambit
Dragonite,Garchomp,Samurott-Hisui,Amoonguss,Kingambit,Iron Valiant
Samurott-Hisui,Iron Valiant,Gholdengo,Enamorus,Baxcalibur,Kingambit
Garganacl,Sandy Shocks,Dragonite,Iron Valiant,Great Tusk,Gholdengo
Torkoal,Hatterene,Walking Wake,Roaring Moon,Great Tusk,Lilligant-Hisui
Sneasler,Great Tusk,Zapdos,Slowking-Galar,Kingambit,Heatran
Torkoal,Hatterene,Walking Wake,Roaring Moon,Great Tusk,Lilligant-Hisui
Cinderace,Slowking-Galar,Enamorus,Kingambit,Great Tusk,Baxcalibur
Blissey,Cyclizar,Alomomola,Dondozo,Clodsire,Corviknight
Glimmora,Gholdengo,Great Tusk,Rotom-Wash,Kingambit,Dragapult
Cinderace,Dragonite,Garganacl,Iron Valiant,Gholdengo,Rotom-Wash
Samurott-Hisui,Baxcalibur,Iron Valiant,Gholdengo,Zamazenta-*,Kingambit
Greninja-*,Pelipper,Kingambit,Zapdos,Ting-Lu,Basculegion
Glimmora,Gholdengo,Great Tusk,Rotom-Wash,Kingambit,Dragapult
Samurott-Hisui,Kingambit,Sandy Shocks,Gholdengo,Iron Valiant,Walking Wake
Samurott-Hisui,Iron Valiant,Gholdengo,Landorus-Therian,Baxcalibur,Greninja-*
Pelipper,Manaphy,Thundurus-Therian,Basculegion,Scizor,Maushold
Ninetales-Alola,Greninja-*,Glimmora,Weavile,Baxcalibur,Cetitan
Charizard-Mega-X,Diancie-Mega,Garchomp-Mega,Gallade-Mega,Kingambit,Zamazenta-*
Ursaluna-Bloodmoon,Fezandipiti,Rotom-Wash,Cinderace,Kingambit,Dragonite
Iron Moth,Ogerpon-Hearthflame,Urshifu-*,Walking Wake,Greninja-*,Jirachi
Darkrai,Walking Wake,Dragapult,Maushold,Urshifu-*,Ogerpon-Hearthflame
Garchomp,Dragonite,Weavile,Great Tusk,Kingambit,Cinderace
Gholdengo,Garchomp,Toxapex,Garganacl,Iron Valiant,Great Tusk
Ogerpon,Clodsire,Dragonite,Corviknight,Great Tusk,Breloom
Roaring Moon,Ninetales-Alola,Kingambit,Glimmora,Ursaluna-Bloodmoon,Manaphy
Toxapex,Dondozo,Blissey,Great Tusk,Ting-Lu,Alomomola
Chansey,Iron Treads,Hatterene,Alomomola,Dondozo,Hawlucha
Blissey,Gastrodon,Corviknight,Cinderace,Toxapex,Clodsire
Toxapex,Dondozo,Blissey,Great Tusk,Ting-Lu,Alomomola
Cinderace,Gliscor,Rillaboom,Sneasler,Ursaluna-Bloodmoon,Kingambit
Cinderace,Landorus-Therian,Iron Valiant,Ogerpon-Wellspring,Clodsire,Hydreigon
Manaphy,Ribombee,Ursaluna-Bloodmoon,Kingambit,Kommo-o,Glimmora
Pelipper,Barraskewda,Zapdos,Manaphy,Maushold,Crawdaunt
Samurott-Hisui,Azumarill,Great Tusk,Hydreigon,Breloom,Kleavor
Roaring Moon,Ninetales-Alola,Kingambit,Iron Valiant,Ursaluna-Bloodmoon,Iron Moth
Cinderace,Landorus-Therian,Iron Valiant,Ogerpon-Wellspring,Clodsire,Hydreigon
Samurott-Hisui,Kingambit,Zapdos,Iron Valiant,Torterra,Cinderace
Cresselia,Zamazenta-*,Dragapult,Glimmora,Ursaluna,Manaphy
Kommo-o,Kingambit,Gliscor,Gholdengo,Ogerpon-Wellspring,Cyclizar
Cresselia,Zamazenta-*,Dragapult,Glimmora,Hoopa-Unbound,Ursaluna
Gliscor,Weezing-Galar,Empoleon,Gholdengo,Tyranitar,Great Tusk
Cresselia,Zamazenta-*,Dragapult,Glimmora,Ursaluna,Iron Moth
Kingambit,Glimmora,Zamazenta-*,Iron Valiant,Iron Moth,Ogerpon-Wellspring
Samurott-Hisui,Ogerpon-Hearthflame,Dragapult,Ting-Lu,Sinistcha,Weezing-Galar
Cresselia,Zamazenta-*,Dragapult,Glimmora,Hoopa-Unbound,Ursaluna
Alomomola,Dondozo,Blissey,Clodsire,Gliscor,Corviknight
Ribombee,Gholdengo,Dragonite,Great Tusk,Manaphy,Ogerpon-Cornerstone
Cinderace,Meowscarada,Landorus-Therian,Iron Valiant,Ogerpon-Wellspring,Clodsire
Cresselia,Crawdaunt,Ursaluna-Bloodmoon,Iron Hands,Hatterene,Chandelure
Clodsire,Cinderace,Iron Valiant,Rotom-Wash,Corviknight,Roaring Moon
Ribombee,Gholdengo,Manaphy,Ogerpon-Cornerstone,Great Tusk,Dragonite
Ribombee,Gholdengo,Dragonite,Ogerpon-Wellspring,Iron Valiant,Great Tusk
Dondozo,Goodra-Hisui,Empoleon,Skeledirge,Gliscor,Hatterene
Dondozo,Goodra-Hisui,Empoleon,Skeledirge,Gliscor,Weezing-Galar
Ribombee,Gholdengo,Dragonite,Ogerpon-Wellspring,Iron Valiant,Great Tusk
Gliscor,Clefable,Dondozo,Tornadus-Therian,Toxapex,Blissey
Kingambit,Glimmora,Iron Valiant,Gholdengo,Ogerpon-Hearthflame,Walking Wake
Sinistcha-Masterpiece,Tyranitar,Ursaluna-Bloodmoon,Heatran,Rillaboom,Cinderace
Kingambit,Glimmora,Iron Valiant,Gholdengo,Ogerpon-Hearthflame,Walking Wake
Garchomp,Gholdengo,Kingambit,Iron Valiant,Dragonite,Glimmora
Pelipper,Azumarill,Greninja-*,Basculegion,Amoonguss,Zapdos
Ogerpon-Hearthflame,Ribombee,Manaphy,Gholdengo,Baxcalibur,Great Tusk
Kingambit,Iron Moth,Gholdengo,Glimmora,Iron Valiant,Baxcalibur
Kingambit,Iron Moth,Gholdengo,Glimmora,Iron Valiant,Baxcalibur
Zamazenta-*,Kingambit,Ursaluna-Bloodmoon,Ceruledge,Zapdos,Slowking-Galar
Meowscarada,Garchomp,Gholdengo,Dragonite,Iron Valiant,Iron Moth
Azumarill,Moltres,Alomomola,Ting-Lu,Cyclizar,Dragapult
Cresselia,Dragapult,Zamazenta-*,Ursaluna,Sandy Shocks,Haxorus
Ogerpon-Hearthflame,Okidogi,Clefable,Great Tusk,Grimmsnarl,Ursaluna-Bloodmoon
Ceruledge,Ogerpon-Wellspring,Iron Valiant,Kingambit,Dragonite,Glimmora
Kingambit,Glimmora,Iron Valiant,Walking Wake,Dragonite,Gholdengo
Ursaluna,Great Tusk,Slowking-Galar,Moltres,Dragonite,Greninja-*
Gholdengo,Kingambit,Iron Valiant,Dragonite,Glimmora,Walking Wake
Gholdengo,Meowscarada,Kingambit,Enamorus,Great Tusk,Lycanroc-Dusk
Glimmora,Ninetales-Alola,Zamazenta-*,Cresselia,Iron Valiant,Gholdengo
Clodsire,Dondozo,Cresselia,Slowking-Galar,Moltres,Great Tusk
Grimmsnarl,Kingambit,Iron Valiant,Garchomp,Iron Moth,Dragapult
Kingambit,Glimmora,Zamazenta-*,Iron Valiant,Iron Moth,Ogerpon-Wellspring
Ninetales-Alola,Haxorus,Okidogi,Manaphy,Samurott-Hisui,Iron Valiant
Ting-Lu,Iron Valiant,Clodsire,Dragonite,Gholdengo,Great Tusk
Maushold-Four,Dragapult,Ogerpon-Wellspring,Munkidori,Landorus-Therian,Kingambit
Zapdos,Dondozo,Cinderace,Meowscarada,Landorus-Therian,Slowking-Galar
Ninetales-Alola,Haxorus,Okidogi,Manaphy,Samurott-Hisui,Iron Valiant
Tyranitar,Ogerpon-Cornerstone,Houndstone,Amoonguss,Cramorant,Heatran
Ursaluna-Bloodmoon,Torterra,Enamorus,Great Tusk,Meowscarada,Kingambit
Great Tusk,Roaring Moon,Dondozo,Sandy Shocks,Greninja-*,Heatran
Ninetales-Alola,Haxorus,Okidogi,Manaphy,Samurott-Hisui,Iron Valiant
Ursaluna,Ninetales-Alola,Iron Moth,Kommo-o,Scizor,Ogerpon-Wellspring
Greninja-*,Pelipper,Barraskewda,Zapdos,Manaphy,Ting-Lu
Ninetales-Alola,Haxorus,Okidogi,Manaphy,Samurott-Hisui,Iron Valiant
Ogerpon-Wellspring,Pelipper,Walking Wake,Floatzel,Zapdos,Great Tusk
Sneasler,Maushold,Hatterene,Indeedee,Armarouge,Polteageist
Maushold-Four,Dragapult,Ogerpon-Wellspring,Munkidori,Landorus-Therian,Kingambit
Rillaboom,Ursaluna-Bloodmoon,Sneasler,Heatran,Hatterene,Ogerpon-Cornerstone
Ogerpon-Cornerstone,Kingambit,Iron Moth,Rillaboom,Ceruledge,Roaring Moon
Tyranitar,Ogerpon-Cornerstone,Houndstone,Probopass,Dipplin,Gliscor
Weavile,Cinderace,Gholdengo,Samurott-Hisui,Cresselia,Gliscor
Ursaluna,Ninetales-Alola,Iron Moth,Ogerpon-Wellspring,Kommo-o,Sandslash-Alola
Roaring Moon,Empoleon,Landorus-Therian,Kingambit,Ursaluna-Bloodmoon,Cinderace
Mew,Ursaluna-Bloodmoon,Ogerpon-Hearthflame,Walking Wake,Ninetales,Great Tusk
Falinks,Tyranitar,Houndstone,Clodsire,Corviknight,Cinderace
Ursaluna-Bloodmoon,Ditto,Empoleon,Moltres,Great Tusk,Dragonite
Torkoal,Ogerpon-Hearthflame,Roaring Moon,Walking Wake,Hatterene,Great Tusk
Sneasler,Maushold,Hatterene,Indeedee,Armarouge,Polteageist
Weavile,Heatran,Landorus-Therian,Dragapult,Ogerpon-Wellspring,Iron Hands
Sneasler,Maushold,Hatterene,Indeedee,Armarouge,Polteageist
Alomomola,Dondozo,Blissey,Gliscor,Corviknight,Toxapex
Weezing-Galar,Kingambit,Golem-Alola,Pawmot,Snorlax,Rabsca
Great Tusk,Glimmora,Dragapult,Kingambit,Rotom-Wash,Cinderace
Ogerpon-Hearthflame,Walking Wake,Torkoal,Sandy Shocks,Great Tusk,Sneasler
Ursaluna-Bloodmoon,Moltres,Tornadus-Therian,Samurott-Hisui,Copperajah,Tatsugiri
Alomomola,Dondozo,Blissey,Gliscor,Corviknight,Toxapex
Sneasler,Maushold,Hatterene,Indeedee,Armarouge,Polteageist
Flutter Mane,Chien-Pao,Iron Treads,Iron Valiant,Iron Bundle,Kingambit
Grimmsnarl,Roaring Moon,Orthworm,Veluza,Polteageist,Baxcalibur
Staraptor,Slowking-Galar,Great Tusk,Heatran,Zarude,Dondozo
Sneasler,Maushold,Hatterene,Indeedee,Armarouge,Polteageist
