pokedex_number,name,generation,classfication,abilities,height_m,weight_kg,type1,type2,base_total,hp,attack,defense,sp_attack,sp_defense,speed,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fighting,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,capture_rate,base_egg_steps,base_happiness,is_legendary,is_mythical,is_mega
8,Wartortle,1,Turtle Pokemon,"['Torrent', 'Rain Dish']",1,22.5,Water,,405,59,63,80,65,80,58,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,45,5140,70,0,0,0
9,Blastoise,1,Shellfish Pokemon,"['Torrent', 'Rain Dish']",1.6000000000000001,85.5,Water,,530,79,83,100,85,105,78,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,45,5140,70,0,0,0
9,Blastoise-Mega,1,Shellfish Pokemon,['Mega Launcher'],1.6000000000000001,101.09999999999999,Water,,630,79,103,120,135,115,78,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,45,5140,70,0,0,1
10,Caterpie,1,Worm Pokemon,"['Shield Dust', 'Run Away']",0.29999999999999988,2.8999999999999999,Bug,,195,45,30,35,20,20,45,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,255,3855,70,0,0,0
11,Metapod,1,Cocoon Pokemon,['Shed Skin'],0.69999999999999984,9.9000000000000004,Bug,,205,50,20,55,25,25,30,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,120,3855,70,0,0,0
12,Butterfree,1,Butterfly Pokemon,"['Compound Eyes', 'Tinted Lens']",1.1000000000000001,32,Bug,Flying,395,60,45,50,90,80,70,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,45,3855,70,0,0,0
13,Weedle,1,Hairy Bug Pokemon,"['Shield Dust', 'Run Away']",0.29999999999999988,3.2000000000000002,Bug,Poison,195,40,35,30,20,20,50,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,255,3855,70,0,0,0
14,Kakuna,1,Cocoon Pokemon,['Shed Skin'],0.59999999999999987,10,Bug,Poison,205,45,25,50,25,25,35,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,120,3855,70,0,0,0
15,Beedrill,1,Poison Bee Pokemon,"['Swarm', 'Sniper']",1,29.5,Bug,Poison,395,65,90,40,45,80,75,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,45,3855,70,0,0,0
15,Beedrill-Mega,1,Poison Bee Pokemon,['Adaptability'],1.3999999999999999,40.5,Bug,Poison,495,65,150,40,15,80,145,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,45,3855,70,0,0,1
16,Pidgey,1,Tiny Bird Pokemon,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",0.29999999999999988,1.8,Normal,Flying,251,40,45,40,35,35,56,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,255,3855,70,0,0,0
17,Pidgeotto,1,Bird Pokemon,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",1.1000000000000001,30,Normal,Flying,349,63,60,55,50,50,71,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,120,3855,70,0,0,0
18,Pidgeot,1,Bird Pokemon,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",1.5,39.5,Normal,Flying,479,83,80,75,70,70,101,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,45,3855,70,0,0,0
18,Pidgeot-Mega,1,Bird Pokemon,['No Guard'],2.2000000000000002,50.5,Normal,Flying,579,83,80,80,135,80,121,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,45,3855,70,0,0,1
19,Rattata,1,Mouse Pokemon,"['Run Away', 'Guts', 'Hustle']",0.29999999999999988,3.5,Normal,,253,30,56,35,25,35,72,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,255,3855,70,0,0,0
19,Rattata-Alola,1,Mouse Pokemon,"['Gluttony', 'Hustle', 'Thick Fat']",0.29999999999999988,3.7999999999999998,Dark,Normal,253,30,56,35,25,35,72,2,0.5,1,1,2,4,1,1,0,1,1,1,1,1,0,1,1,1,255,3855,70,0,0,0
20,Raticate,1,Mouse Pokemon,"['Run Away', 'Guts', 'Hustle']",0.69999999999999984,18.5,Normal,,413,55,81,60,50,70,97,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,127,3855,70,0,0,0
20,Raticate-Alola,1,Mouse Pokemon,"['Gluttony', 'Hustle', 'Thick Fat']",0.69999999999999984,25.5,Dark,Normal,413,75,71,70,40,80,77,2,0.5,1,1,2,4,1,1,0,1,1,1,1,1,0,1,1,1,127,3855,70,0,0,0
21,Spearow,1,Tiny Bird Pokemon,"['Keen Eye', 'Sniper']",0.29999999999999988,2,Normal,Flying,262,40,60,30,31,31,70,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,255,3855,70,0,0,0
22,Fearow,1,Beak Pokemon,"['Keen Eye', 'Sniper']",1.2,38,Normal,Flying,442,65,90,65,61,61,100,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,90,3855,70,0,0,0
23,Ekans,1,Snake Pokemon,"['Intimidate', 'Shed Skin', 'Unnerve']",2,6.9000000000000004,Poison,,288,35,60,44,40,54,55,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,255,5140,70,0,0,0
24,Arbok,1,Cobra Pokemon,"['Intimidate', 'Shed Skin', 'Unnerve']",3.5,65,Poison,,448,60,95,69,65,79,80,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,90,5140,70,0,0,0
25,Pikachu,1,Mouse Pokemon,"['Static', 'Lightning Rod']",0.40000000000000002,6,Electric,,320,35,55,40,50,50,90,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,190,2570,70,0,0,0
26,Raichu,1,Mouse Pokemon,"['Static', 'Lightning Rod']",0.80000000000000004,30,Electric,,485,60,90,55,90,80,110,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,75,2570,70,0,0,0
26,Raichu-Alola,1,Mouse Pokemon,['Surge Surfer'],0.69999999999999984,21,Electric,Psychic,485,60,85,50,95,85,110,2,2,1,0.5,1,0.5,1,0.5,2,1,2,1,1,1,0.5,1,0.5,1,75,2570,70,0,0,0
27,Sandshrew,1,Mouse Pokemon,"['Sand Veil', 'Sand Rush']",0.59999999999999987,12,Ground,,300,50,75,85,20,30,40,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,255,5140,70,0,0,0
27,Sandshrew-Alola,1,Mouse Pokemon,"['Snow Cloak', 'Slush Rush']",0.69999999999999984,40,Ice,Steel,300,50,75,90,10,35,40,0.5,1,0.5,1,0.5,4,4,0.5,1,0.5,2,0.25,0.5,0,0.5,1,1,1,255,5140,70,0,0,0
28,Sandslash,1,Mouse Pokemon,"['Sand Veil', 'Sand Rush']",1,29.5,Ground,,450,75,100,110,45,55,65,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,90,5140,70,0,0,0
28,Sandslash-Alola,1,Mouse Pokemon,"['Snow Cloak', 'Slush Rush']",1.2,55,Ice,Steel,450,75,100,120,25,65,65,0.5,1,0.5,1,0.5,4,4,0.5,1,0.5,2,0.25,0.5,0,0.5,1,1,1,90,5140,70,0,0,0
29,Nidoran-F,1,Poison Pin Pokemon,"['Poison Point', 'Rivalry', 'Hustle']",0.40000000000000002,7,Poison,,275,55,47,52,40,40,41,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,235,5140,70,0,0,0
30,Nidorina,1,Poison Pin Pokemon,"['Poison Point', 'Rivalry', 'Hustle']",0.80000000000000004,20,Poison,,365,70,62,67,55,55,56,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,120,5140,70,0,0,0
31,Nidoqueen,1,Drill Pokemon,"['Poison Point', 'Rivalry', 'Sheer Force']",1.3,60,Poison,Ground,505,90,92,87,75,85,76,0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2,45,5140,70,0,0,0
32,Nidoran-M,1,Poison Pin Pokemon,"['Poison Point', 'Rivalry', 'Hustle']",0.5,9,Poison,,273,46,57,40,40,40,50,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,235,5140,70,0,0,0
33,Nidorino,1,Poison Pin Pokemon,"['Poison Point', 'Rivalry', 'Hustle']",0.90000000000000002,19.5,Poison,,365,61,72,57,55,55,65,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,120,5140,70,0,0,0
34,Nidoking,1,Drill Pokemon,"['Poison Point', 'Rivalry', 'Sheer Force']",1.3999999999999999,62,Poison,Ground,505,81,102,77,85,75,85,0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2,45,5140,70,0,0,0
35,Clefairy,1,Fairy Pokemon,"['Cute Charm', 'Magic Guard', 'Friend Guard']",0.59999999999999987,7.5,Fairy,,323,70,45,48,60,65,35,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,150,2570,140,0,0,0
36,Clefable,1,Fairy Pokemon,"['Cute Charm', 'Magic Guard', 'Unaware']",1.3,40,Fairy,,483,95,70,73,95,90,60,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,25,2570,140,0,0,0
37,Vulpix,1,Fox Pokemon,"['Flash Fire', 'Drought']",0.59999999999999987,9.9000000000000004,Fire,,299,38,41,40,50,65,65,0.5,1,1,1,0.5,1,0,1,1,0.5,2,0.5,1,1,1,2,0.5,2,190,5140,70,0,0,0
37,Vulpix-Alola,1,Fox Pokemon,"['Snow Cloak', 'Snow Warning']",0.59999999999999987,9.9000000000000004,Ice,,299,38,41,40,50,65,65,1,1,1,1,1,2,2,1,1,1,1,0.5,1,1,1,2,2,1,190,5140,70,0,0,0
38,Ninetales,1,Fox Pokemon,"['Flash Fire', 'Drought']",1.1000000000000001,19.899999999999999,Fire,,505,73,76,75,81,100,100,0.5,1,1,1,0.5,1,0,1,1,0.5,2,0.5,1,1,1,2,0.5,2,75,5140,70,0,0,0
38,Ninetales-Alola,1,Fox Pokemon,"['Snow Cloak', 'Snow Warning']",1.1000000000000001,19.899999999999999,Ice,Fairy,505,73,67,75,81,100,109,0.5,0.5,0,1,1,1,2,1,1,1,1,0.5,1,2,1,2,4,1,75,5140,70,0,0,0
39,Jigglypuff,1,Balloon Pokemon,"['Cute Charm', 'Competitive', 'Friend Guard']",0.5,5.5,Normal,Fairy,270,115,45,20,45,25,20,0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,170,2570,70,0,0,0
40,Wigglytuff,1,Balloon Pokemon,"['Cute Charm', 'Competitive', 'Frisk']",1,12,Normal,Fairy,435,140,70,45,85,50,45,0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,50,2570,70,0,0,0
41,Zubat,1,Bat Pokemon,"['Inner Focus', 'Infiltrator']",0.80000000000000004,7.5,Poison,Flying,245,40,45,35,30,40,55,0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,255,3855,70,0,0,0
42,Golbat,1,Bat Pokemon,"['Inner Focus', 'Infiltrator']",1.6000000000000001,55,Poison,Flying,455,75,80,70,65,75,90,0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,90,3855,70,0,0,0
43,Oddish,1,Weed Pokemon,"['Chlorophyll', 'Run Away']",0.5,5.4000000000000004,Grass,Poison,320,45,50,55,75,65,30,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,255,5140,70,0,0,0
44,Gloom,1,Weed Pokemon,"['Chlorophyll', 'Stench']",0.80000000000000004,8.5999999999999979,Grass,Poison,395,60,65,70,85,75,40,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,120,5140,70,0,0,0
45,Vileplume,1,Flower Pokemon,"['Chlorophyll', 'Effect Spore']",1.2,18.600000000000001,Grass,Poison,490,75,80,85,110,90,50,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,45,5140,70,0,0,0
46,Paras,1,Mushroom Pokemon,"['Effect Spore', 'Dry Skin', 'Damp']",0.29999999999999988,5.4000000000000004,Bug,Grass,285,35,70,55,45,55,25,2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5,190,5140,70,0,0,0
47,Parasect,1,Mushroom Pokemon,"['Effect Spore', 'Dry Skin', 'Damp']",1,29.5,Bug,Grass,405,60,95,80,60,80,30,2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5,75,5140,70,0,0,0
48,Venonat,1,Insect Pokemon,"['Compound Eyes', 'Tinted Lens', 'Run Away']",1,30,Bug,Poison,305,60,55,50,40,55,45,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,190,5140,70,0,0,0
49,Venomoth,1,Poison Moth Pokemon,"['Shield Dust', 'Tinted Lens', 'Wonder Skin']",1.5,12.5,Bug,Poison,450,70,65,60,90,75,90,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,75,5140,70,0,0,0
50,Diglett,1,Mole Pokemon,"['Sand Veil', 'Arena Trap', 'Sand Force']",0.20000000000000001,0.80000000000000004,Ground,,265,10,55,25,35,45,95,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,255,5140,70,0,0,0
50,Diglett-Alola,1,Mole Pokemon,"['Sand Veil', 'Tangling Hair', 'Sand Force']",0.20000000000000001,1,Ground,Steel,265,10,55,30,35,45,90,0.5,1,0.5,0,0.5,2,2,0.5,1,1,2,1,0.5,0,0.5,0.25,0.5,2,255,5140,70,0,0,0
51,Dugtrio,1,Mole Pokemon,"['Sand Veil', 'Arena Trap', 'Sand Force']",0.69999999999999984,33.299999999999997,Ground,,425,35,100,50,50,70,120,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,50,5140,70,0,0,0
51,Dugtrio-Alola,1,Mole Pokemon,"['Sand Veil', 'Tangling Hair', 'Sand Force']",0.69999999999999984,66.599999999999994,Ground,Steel,425,35,100,60,50,70,110,0.5,1,0.5,0,0.5,2,2,0.5,1,1,2,1,0.5,0,0.5,0.25,0.5,2,50,5140,70,0,0,0
52,Meowth,1,Scratch Cat Pokemon,"['Pickup', 'Technician', 'Unnerve']",0.40000000000000002,4.2000000000000002,Normal,,290,40,45,35,40,40,90,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,255,5140,70,0,0,0
52,Meowth-Alola,1,Scratch Cat Pokemon,"['Pickup', 'Technician', 'Rattled']",0.40000000000000002,4.2000000000000002,Dark,,290,40,35,35,50,40,90,2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1,255,5140,70,0,0,0
53,Persian,1,Classy Cat Pokemon,"['Limber', 'Technician', 'Unnerve']",1,32,Normal,,440,65,70,60,65,65,115,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,90,5140,70,0,0,0
53,Persian-Alola,1,Classy Cat Pokemon,"['Fur Coat', 'Technician', 'Rattled']",1.1000000000000001,33,Dark,,440,65,60,60,75,65,115,2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1,90,5140,70,0,0,0
54,Psyduck,1,Duck Pokemon,"['Damp', 'Cloud Nine', 'Swift Swim']",0.80000000000000004,19.600000000000001,Water,,320,50,52,48,65,50,55,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,190,5140,70,0,0,0
55,Golduck,1,Duck Pokemon,"['Damp', 'Cloud Nine', 'Swift Swim']",1.7,76.59999999999998,Water,,500,80,82,78,95,80,85,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,75,5140,70,0,0,0
56,Mankey,1,Pig Monkey Pokemon,"['Vital Spirit', 'Anger Point', 'Defiant']",0.5,28,Fighting,,305,40,80,35,35,45,70,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,190,5140,70,0,0,0
57,Primeape,1,Pig Monkey Pokemon,"['Vital Spirit', 'Anger Point', 'Defiant']",1,32,Fighting,,455,65,105,60,60,70,95,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,75,5140,70,0,0,0
58,Growlithe,1,Puppy Pokemon,"['Intimidate', 'Flash Fire', 'Justified']",0.69999999999999984,19,Fire,,350,55,70,45,70,50,60,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,190,5140,70,0,0,0
59,Arcanine,1,Legendary Pokemon,"['Intimidate', 'Flash Fire', 'Justified']",1.8999999999999999,155,Fire,,555,90,110,80,100,80,95,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,75,5140,70,0,0,0
60,Poliwag,1,Tadpole Pokemon,"['Water Absorb', 'Damp', 'Swift Swim']",0.59999999999999987,12.4,Water,,300,40,50,40,40,40,90,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0,255,5140,70,0,0,0
61,Poliwhirl,1,Tadpole Pokemon,"['Water Absorb', 'Damp', 'Swift Swim']",1,20,Water,,385,65,65,65,50,50,90,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0,120,5140,70,0,0,0
62,Poliwrath,1,Tadpole Pokemon,"['Water Absorb', 'Damp', 'Swift Swim']",1.3,54,Water,Fighting,510,90,95,95,70,90,70,0.5,0.5,1,2,2,1,0.5,2,1,2,1,0.5,1,1,2,0.5,0.5,0,45,5140,70,0,0,0
63,Abra,1,Psi Pokemon,"['Synchronize', 'Inner Focus', 'Magic Guard']",0.90000000000000002,19.5,Psychic,,310,25,20,15,105,55,90,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,200,5140,70,0,0,0
64,Kadabra,1,Psi Pokemon,"['Synchronize', 'Inner Focus', 'Magic Guard']",1.3,56.5,Psychic,,400,40,35,30,120,70,105,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,100,5140,70,0,0,0
65,Alakazam,1,Psi Pokemon,"['Synchronize', 'Inner Focus', 'Magic Guard']",1.5,48,Psychic,,500,55,50,45,135,95,120,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,50,5140,70,0,0,0
65,Alakazam-Mega,1,Psi Pokemon,['Trace'],1.2,48,Psychic,,600,55,50,65,175,105,150,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,50,5140,70,0,0,1
66,Machop,1,Superpower Pokemon,"['Guts', 'No Guard', 'Steadfast']",0.80000000000000004,19.5,Fighting,,305,70,80,50,35,35,35,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,180,5140,70,0,0,0
67,Machoke,1,Superpower Pokemon,"['Guts', 'No Guard', 'Steadfast']",1.5,70.5,Fighting,,405,80,100,70,50,60,45,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,90,5140,70,0,0,0
68,Machamp,1,Superpower Pokemon,"['Guts', 'No Guard', 'Steadfast']",1.6000000000000001,130,Fighting,,505,90,130,80,65,85,55,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,45,5140,70,0,0,0
69,Bellsprout,1,Flower Pokemon,"['Chlorophyll', 'Gluttony']",0.69999999999999984,4,Grass,Poison,300,50,75,35,70,30,40,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,255,5140,70,0,0,0
70,Weepinbell,1,Flycatcher Pokemon,"['Chlorophyll', 'Gluttony']",1,6.4000000000000004,Grass,Poison,390,65,90,50,85,45,55,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,120,5140,70,0,0,0
71,Victreebel,1,Flycatcher Pokemon,"['Chlorophyll', 'Gluttony']",1.7,15.5,Grass,Poison,490,80,105,65,100,70,70,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,45,5140,70,0,0,0
72,Tentacool,1,Jellyfish Pokemon,"['Clear Body', 'Liquid Ooze', 'Rain Dish']",0.90000000000000002,45.5,Water,Poison,335,40,40,35,50,100,70,0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,190,5140,70,0,0,0
73,Tentacruel,1,Jellyfish Pokemon,"['Clear Body', 'Liquid Ooze', 'Rain Dish']",1.6000000000000001,55,Water,Poison,515,80,70,65,80,120,100,0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,60,5140,70,0,0,0
74,Geodude,1,Rock Pokemon,"['Rock Head', 'Sturdy', 'Sand Veil']",0.40000000000000002,20,Rock,Ground,300,40,80,100,30,30,20,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,255,3855,70,0,0,0
74,Geodude-Alola,1,Rock Pokemon,"['Magnet Pull', 'Sturdy', 'Galvanize']",0.40000000000000002,20.300000000000001,Rock,Electric,300,40,80,100,30,30,20,1,1,1,0.5,1,2,0.5,0.25,1,2,4,1,0.5,0.5,1,1,1,2,255,3855,70,0,0,0
75,Graveler,1,Rock Pokemon,"['Rock Head', 'Sturdy', 'Sand Veil']",1,105,Rock,Ground,390,55,95,115,45,45,35,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,120,3855,70,0,0,0
75,Graveler-Alola,1,Rock Pokemon,"['Magnet Pull', 'Sturdy', 'Galvanize']",1,110,Rock,Electric,390,55,95,115,45,45,35,1,1,1,0.5,1,2,0.5,0.25,1,2,4,1,0.5,0.5,1,1,1,2,120,3855,70,0,0,0
76,Golem,1,Megaton Pokemon,"['Rock Head', 'Sturdy', 'Sand Veil']",1.3999999999999999,300,Rock,Ground,495,80,120,130,55,65,45,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,45,3855,70,0,0,0
76,Golem-Alola,1,Megaton Pokemon,"['Magnet Pull', 'Sturdy', 'Galvanize']",1.7,316,Rock,Electric,495,80,120,130,55,65,45,1,1,1,0.5,1,2,0.5,0.25,1,2,4,1,0.5,0.5,1,1,1,2,45,3855,70,0,0,0
77,Ponyta,1,Fire Horse Pokemon,"['Run Away', 'Flash Fire', 'Flame Body']",1,30,Fire,,410,50,85,55,65,65,90,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,190,5140,70,0,0,0
77,Ponyta-Galar,1,Unique Horn Pokemon,"['Run Away', 'Pastel Veil', 'Anticipation']",0.80000000000000004,24,Psychic,,410,50,85,55,65,65,90,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,190,5140,70,0,0,0
78,Rapidash,1,Fire Horse Pokemon,"['Run Away', 'Flash Fire', 'Flame Body']",1.7,95,Fire,,500,65,100,70,80,80,105,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,60,5140,70,0,0,0
78,Rapidash-Galar,1,Unique Horn Pokemon,"['Run Away', 'Pastel Veil', 'Anticipation']",1.7,80,Psychic,Fairy,500,65,100,70,80,80,105,1,1,0,1,1,0.25,1,1,2,1,1,1,1,2,0.5,1,2,1,60,5140,70,0,0,0
79,Slowpoke,1,Dopey Pokemon,"['Oblivious', 'Own Tempo', 'Regenerator']",1.2,36,Water,Psychic,315,90,65,65,40,40,15,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,190,5140,70,0,0,0
79,Slowpoke-Galar,1,Dopey Pokemon,"['Gluttony', 'Own Tempo']",1.2,36,Psychic,,315,90,65,65,40,40,15,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,190,5140,70,0,0,0
80,Slowbro,1,Hermit Crab Pokemon,"['Oblivious', 'Own Tempo', 'Regenerator']",1.6000000000000001,78.5,Water,Psychic,490,95,75,110,100,80,30,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,75,5140,70,0,0,0
